idx,delta_phi_re,delta_phi_im,delta_psi_re,delta_psi_im
0,-56.8029,-11.2656,9.28023,-0.242449
1,-49.7167,-10.6977,9.37165,-0.488588
2,-42.5331,-9.7262,9.42868,-0.743656
3,-35.3397,-8.42424,9.45303,-1.00128
4,-28.2219,-6.8652,9.44643,-1.25517
5,-21.2617,-5.12148,9.4107,-1.49925
6,-14.5371,-3.26359,9.34768,-1.72767
7,-8.12079,-1.35917,9.2592,-1.93489
8,-2.07977,0.527933,9.14709,-2.11578
9,3.52559,2.33836,9.01313,-2.26564
10,8.64205,4.01809,8.85906,-2.38027
11,13.224,5.51896,8.68653,-2.456
12,17.2338,6.79929,8.49714,-2.48975
13,20.6423,7.82418,8.29236,-2.47906
14,23.4286,8.56596,8.0736,-2.42208
15,25.5804,9.00427,7.84215,-2.31761
16,27.0941,9.12619,7.59919,-2.16512
17,27.9743,8.92623,7.34579,-1.96471
18,28.2335,8.40614,7.08293,-1.71711
19,27.8924,7.57471,6.81148,-1.4237
20,26.9787,6.44736,6.53223,-1.08643
21,25.527,5.04579,6.24587,-0.707819
22,23.5779,3.39735,5.95302,-0.290906
23,21.1779,1.53449,5.65423,0.16079
24,18.3781,-0.505964,5.35001,0.643321
25,15.2336,-2.68348,5.04082,1.15237
26,11.8028,-4.95467,4.72709,1.6833
27,8.14657,-7.27409,4.40926,2.23123
28,4.3273,-9.59502,4.08773,2.79107
29,0.408132,-11.8704,3.76295,3.35762
30,-3.54789,-14.0537,3.43539,3.92561
31,-7.47866,-16.0995,3.10554,4.48977
32,-11.3238,-17.9645,2.77396,5.04488
33,-15.0253,-19.6085,2.44127,5.58588
34,-18.5284,-20.9946,2.10813,6.10785
35,-21.7822,-22.0901,1.77532,6.60612
36,-24.74,-22.8672,1.44368,7.07632
37,-27.3603,-23.3033,1.11413,7.51438
38,-29.6068,-23.3815,0.787675,7.9166
39,-31.4488,-23.0908,0.465432,8.27971
40,-32.862,-22.4266,0.148582,8.60084
41,-33.8278,-21.3904,-0.161602,8.87756
42,-34.3344,-19.9904,-0.463775,9.10795
43,-34.376,-18.2409,-0.756518,9.2905
44,-33.9534,-16.1621,-1.03835,9.42423
45,-33.0733,-13.7805,-1.30775,9.50858
46,-31.7484,-11.1276,-1.56315,9.54349
47,-29.9973,-8.24021,-1.80294,9.52931
48,-27.8437,-5.15954,-2.02554,9.46682
49,-25.3163,-1.93065,-2.22934,9.35718
50,-22.4482,1.39818,-2.41277,9.20193
51,-19.2763,4.77621,-2.57428,9.00292
52,-15.8411,8.15094,-2.71238,8.76227
53,-12.1856,11.469,-2.82567,8.48236
54,-8.35526,14.6769,-2.91281,8.16577
55,-4.39675,17.722,-2.97258,7.81521
56,-0.357795,20.5529,-3.00388,7.43352
57,3.71367,23.1208,-3.00573,7.0236
58,7.77008,25.3799,-2.97733,6.58833
59,11.7649,27.2885,-2.91801,6.13061
60,15.653,28.809,-2.82729,5.65324
61,19.3915,29.9094,-2.70488,5.15893
62,22.9401,30.563,-2.55067,4.65024
63,26.2615,30.7496,-2.36476,4.12956
64,29.322,30.4554,-2.14745,3.59907
65,32.0916,29.6734,-1.89925,3.06074
66,34.5445,28.4038,-1.62088,2.51631
67,36.6591,26.6537,-1.31327,1.96725
68,38.4187,24.4375,-0.977551,1.41479
69,39.8107,21.7765,-0.615076,0.85989
70,40.8276,18.6987,-0.227376,0.303265
71,41.4663,15.2387,0.183817,-0.254609
72,41.7285,11.4369,0.616596,-0.813496
73,41.6201,7.3394,1.06888,-1.37335
74,41.1513,2.99707,1.53844,-1.93434
75,40.3363,-1.53495,2.02289,-2.49675
76,39.193,-6.19799,2.51973,-3.06102
77,37.7426,-10.9308,3.02634,-3.62767
78,36.0093,-15.6702,3.53999,-4.19727
79,34.0198,-20.3521,4.0579,-4.77041
80,31.8031,-24.9124,4.5772,-5.34765
81,29.3898,-29.2879,5.095,-5.92949
82,26.8118,-33.4172,5.60837,-6.51632
83,24.1017,-37.2415,6.11438,-7.10839
84,21.2926,-40.7057,6.6101,-7.70577
85,18.4175,-43.7591,7.09267,-8.30831
