idx,phi_re,phi_im,psi_re,psi_im
0,-0.365437,1.896973,-0.981946,-0.189164
1,-0.327600,1.903872,-0.985517,-0.169578
2,-0.289633,1.910017,-0.988697,-0.149925
3,-0.251551,1.915404,-0.991486,-0.130212
4,-0.213370,1.920032,-0.993882,-0.110448
5,-0.175104,1.923900,-0.995884,-0.090640
6,-0.136768,1.927004,-0.997491,-0.070797
7,-0.098379,1.929345,-0.998703,-0.050925
8,-0.059950,1.930921,-0.999518,-0.031033
9,-0.021498,1.931732,-0.999938,-0.011128
10,0.016963,1.931777,-0.999961,0.008781
11,0.055417,1.931057,-0.999588,0.028686
12,0.093849,1.929571,-0.998819,0.048580
13,0.132244,1.927320,-0.997654,0.068455
14,0.170587,1.924305,-0.996094,0.088302
15,0.208862,1.920528,-0.994138,0.108115
16,0.247054,1.915989,-0.991789,0.127885
17,0.285148,1.910691,-0.989047,0.147604
18,0.323130,1.904636,-0.985912,0.167264
19,0.360983,1.897826,-0.982387,0.186858
20,0.398693,1.890263,-0.978472,0.206379
21,0.436245,1.881951,-0.974170,0.225817
22,0.473624,1.872894,-0.969481,0.245166
23,0.510815,1.863094,-0.964408,0.264417
24,0.547804,1.852555,-0.958953,0.283564
25,0.584576,1.841283,-0.953118,0.302599
26,0.621116,1.829280,-0.946905,0.321513
27,0.657410,1.816552,-0.940317,0.340301
28,0.693444,1.803105,-0.933356,0.358953
29,0.729202,1.788942,-0.926025,0.377463
30,0.764671,1.774071,-0.918327,0.395823
31,0.799838,1.758497,-0.910265,0.414027
32,0.834687,1.742225,-0.901842,0.432066
33,0.869206,1.725263,-0.893062,0.449934
34,0.903380,1.707617,-0.883928,0.467624
35,0.937196,1.689294,-0.874443,0.485128
36,0.970640,1.670302,-0.864612,0.502440
37,1.003700,1.650648,-0.854438,0.519553
38,1.036362,1.630339,-0.843926,0.536460
39,1.068613,1.609384,-0.833079,0.553155
40,1.100441,1.587791,-0.821901,0.569630
41,1.131832,1.565569,-0.810398,0.585879
42,1.162775,1.542727,-0.798574,0.601897
43,1.193257,1.519273,-0.786433,0.617675
44,1.223266,1.495216,-0.773981,0.633209
45,1.252790,1.470567,-0.761222,0.648492
46,1.281817,1.445336,-0.748161,0.663517
47,1.310337,1.419531,-0.734803,0.678280
48,1.338337,1.393164,-0.721155,0.692774
49,1.365807,1.366244,-0.707220,0.706993
50,1.392735,1.338783,-0.693005,0.720933
51,1.419111,1.310792,-0.678516,0.734586
52,1.444925,1.282280,-0.663757,0.747948
53,1.470166,1.253261,-0.648736,0.761014
54,1.494824,1.223745,-0.633457,0.773778
55,1.518890,1.193743,-0.617927,0.786235
56,1.542354,1.163269,-0.602152,0.798381
57,1.565207,1.132334,-0.586139,0.810211
