theta,psi2
-3.14159,23953.9
-3.12414,23261
-3.10669,21404.6
-3.08923,16852.6
-3.07178,22878.8
-3.05433,62162.3
-3.03687,149615
-3.01942,274189
-3.00197,394033
-2.98451,453119
-2.96706,413910
-2.94961,287438
-2.93215,138560
-2.9147,55513.6
-2.89725,95839.9
-2.87979,242142
-2.86234,403389
-2.84489,471107
-2.82743,396730
-2.80998,230116
-2.79253,81169.1
-2.77507,30456.4
-2.75762,66631.8
-2.74017,109925
-2.72271,97613
-2.70526,42085
-2.68781,2476.89
-2.67035,9699.96
-2.6529,36226.3
-2.63545,40720.4
-2.61799,21592.2
-2.60054,9504.84
-2.58309,18619.2
-2.56563,30211.7
-2.54818,25958.5
-2.53073,13168.2
-2.51327,6008.93
-2.49582,2777.74
-2.47837,292.507
-2.46091,13492.9
-2.44346,53355.1
-2.42601,93541.7
-2.40855,91349.9
-2.3911,45921.9
-2.37365,5618.22
-2.35619,5186.29
-2.33874,23027.9
-2.32129,21780.3
-2.30383,7888.19
-2.28638,17757.7
-2.26893,54129.8
-2.25147,74859.4
-2.23402,54877
-2.21657,25831.7
-2.19911,27672.6
-2.18166,44358.4
-2.16421,32786.3
-2.14675,16509.3
-2.1293,96716.7
-2.11185,328223
-2.0944,608328
-2.07694,741711
-2.05949,628975
-2.04204,364359
-2.02458,133332
-2.00713,32826.1
-1.98968,15850.9
-1.97222,7233.48
-1.95477,24358.7
-1.93732,126276
-1.91986,264034
-1.90241,289646
-1.88496,160122
-1.8675,23051.1
-1.85005,9029.15
-1.8326,48824.6
-1.81514,26910.5
-1.79769,2665.71
-1.78024,91693.5
-1.76278,215437
-1.74533,197089
-1.72788,61255.6
-1.71042,857.919
-1.69297,61530.2
-1.67552,96417
-1.65806,41884.3
-1.64061,4135.46
-1.62316,39879
-1.6057,66598.3
-1.58825,37189.4
-1.5708,14542
-1.55334,27838.7
-1.53589,24341.8
-1.51844,1543.11
-1.50098,28505.2
-1.48353,101610
-1.46608,128161
-1.44862,84916.2
-1.43117,50790.2
-1.41372,54356.5
-1.39626,37438.9
-1.37881,11539.2
-1.36136,95607.5
-1.3439,316669
-1.32645,499312
-1.309,463384
-1.29154,254090
-1.27409,70458.4
-1.25664,15127.7
-1.23918,22604
-1.22173,17177.2
-1.20428,29846.3
-1.18682,120616
-1.16937,255783
-1.15192,325503
-1.13446,267687
-1.11701,133286
-1.09956,26278.6
-1.0821,2785.22
-1.06465,36026.5
-1.0472,64702.6
-1.02974,62814.6
-1.01229,63902.6
-0.994838,122688
-0.977384,252492
-0.959931,397074
-0.942478,466065
-0.925025,406583
-0.907571,249123
-0.890118,86823.8
-0.872665,5991.76
-0.855211,27324.7
-0.837758,103591
-0.820305,166858
-0.802851,178765
-0.785398,144821
-0.767945,93235.5
-0.750492,47570.8
-0.733038,16941.5
-0.715585,2388.35
-0.698132,3652.54
-0.680678,17954.7
-0.663225,36628.4
-0.645772,48165.4
-0.628319,46624.3
-0.610865,36358.9
-0.593412,27455.7
-0.575959,26308.9
-0.558505,30632
-0.541052,33147.7
-0.523599,29477.5
-0.506145,22430.7
-0.488692,19265.1
-0.471239,25210.6
-0.453786,39161.8
-0.436332,54599.8
-0.418879,64138.8
-0.401426,63829.7
-0.383972,54568.4
-0.366519,40666.2
-0.349066,27372.1
-0.331613,19005.5
-0.314159,18172.2
-0.296706,25554
-0.279253,39649.2
-0.261799,56463.2
-0.244346,69846.1
-0.226893,73285
-0.20944,63119
-0.191986,41720.4
-0.174533,18233.4
-0.15708,5163.98
-0.139626,11654.3
-0.122173,37182.2
-0.10472,70291.3
-0.0872665,94335.1
-0.0698132,97325
-0.0523599,79363.2
-0.0349066,52091.7
-0.0174533,30133.4
0,20777.8
0.0174533,20085.8
0.0349066,19065.2
0.0523599,15523
0.0698132,21742.1
0.0872665,59880.6
0.10472,145480
0.122173,269195
0.139626,390919
0.15708,454994
0.174533,422150
0.191986,300331
0.20944,151932
0.226893,65189.9
0.244346,100260
0.261799,243091
0.279253,404210
0.296706,473863
0.314159,400750
0.331613,233130
0.349066,81842.6
0.366519,29821
0.383972,67028.9
0.401426,112606
0.418879,101486
0.436332,44888.2
0.453786,3075.38
0.471239,9056.84
0.488692,36113.7
0.506145,41757.7
0.523599,22840.4
0.541052,9869.57
0.558505,18143
0.575959,29696.2
0.593412,25705.1
0.610865,12734.4
0.628319,5208.17
0.645772,2188.29
0.663225,320.28
0.680678,13448.4
0.698132,52226.1
0.715585,91535.3
0.733038,89826.2
0.750492,45598.6
0.767945,5645.48
0.785398,4521.24
0.802851,22022.3
0.820305,21484.8
0.837758,8155.16
0.855211,17286.8
0.872665,52629.1
0.890118,73835
0.907571,55269.2
0.925025,25869.3
0.942478,24878.3
0.959931,39587.7
0.977384,30109.5
0.994838,17902.9
1.01229,98577.8
1.02974,325323
1.0472,600655
1.06465,735134
1.0821,628808
1.09956,370108
1.11701,140481
1.13446,38035.1
1.15192,18898.2
1.16937,8742.64
1.18682,23747.9
1.20428,123043
1.22173,260193
1.23918,288784
1.25664,162963
1.27409,25700.4
1.29154,7785.21
1.309,45340.4
1.32645,25440.9
1.3439,3256.95
1.36136,90471.3
1.37881,211554
1.39626,194265
1.41372,61271
1.43117,657.247
1.44862,58880.9
1.46608,93617.2
1.48353,41194.2
1.50098,3934.22
1.51844,38346.7
1.53589,65257.5
1.55334,37669.5
1.5708,15314
1.58825,27195.5
1.6057,23439.1
1.62316,1570.29
1.64061,27882.1
1.65806,98962.6
1.67552,125252
1.69297,83544.3
1.71042,49411.7
1.72788,51168.7
1.74533,34588.2
1.76278,12379.6
1.78024,99061.1
1.79769,318274
1.81514,497653
1.8326,461798
1.85005,255236
1.8675,72348.1
1.88496,14358.3
1.90241,19516.1
1.91986,15601.9
1.93732,32421.9
1.95477,126171
1.97222,261367
1.98968,329573
2.00713,270695
2.02458,135975
2.04204,28272.1
2.05949,2822.03
2.07694,33136.8
2.0944,59039.7
2.11185,55554.6
2.1293,56483.7
2.14675,116128
2.16421,247373
2.18166,394037
2.19911,465977
2.21657,409809
2.23402,254480
2.25147,91542.3
2.26893,7262.35
2.28638,24360.6
2.30383,98370
2.32129,162776
2.33874,178305
2.35619,148139
2.37365,98566.2
2.3911,52717
2.40855,20452.6
2.42601,3733.19
2.44346,2788.37
2.46091,15038.9
2.47837,32113.6
2.49582,42932.8
2.51327,41789.3
2.53073,32816.4
2.54818,25544.5
2.56563,25847.2
2.58309,31213.1
2.60054,34393.5
2.61799,31086.6
2.63545,24104.9
2.6529,20698
2.67035,26195.7
2.68781,39710.7
2.70526,54929.3
2.72271,64505.8
2.74017,64336.4
2.75762,55087.1
2.77507,40939.2
2.79253,27212.4
2.80998,18462
2.82743,17560.7
2.84489,25339
2.86234,40240.7
2.87979,58022.2
2.89725,72186.8
2.9147,75924
2.93215,65463.5
2.94961,43317.8
2.96706,18956.8
2.98451,5226.07
3.00197,11435.4
3.01942,36986
3.03687,70206.4
3.05433,94310.4
3.07178,97397
3.08923,79821.1
3.10669,53380.9
3.12414,32506.8
3.14159,23953.9
