x,y,psi2
-20,-15,0.25528
-20,-14.8997,0.23559
-20,-14.7993,0.217311
-20,-14.699,0.200554
-20,-14.5987,0.185459
-20,-14.4983,0.172051
-20,-14.398,0.160395
-20,-14.2977,0.150467
-20,-14.1973,0.142233
-20,-14.097,0.135636
-20,-13.9967,0.130577
-20,-13.8963,0.126944
-20,-13.796,0.124621
-20,-13.6957,0.123468
-20,-13.5953,0.123337
-20,-13.495,0.124073
-20,-13.3946,0.125498
-20,-13.2943,0.127437
-20,-13.194,0.129702
-20,-13.0936,0.132123
-20,-12.9933,0.134538
-20,-12.893,0.136819
-20,-12.7926,0.138843
-20,-12.6923,0.140542
-20,-12.592,0.141852
-20,-12.4916,0.142722
-20,-12.3913,0.143121
-20,-12.291,0.143009
-20,-12.1906,0.142344
-20,-12.0903,0.141086
-20,-11.99,0.139197
-20,-11.8896,0.136625
-20,-11.7893,0.133339
-20,-11.689,0.129324
-20,-11.5886,0.124577
-20,-11.4883,0.119114
-20,-11.388,0.112969
-20,-11.2876,0.106199
-20,-11.1873,0.0988662
-20,-11.087,0.091047
-20,-10.9866,0.0828366
-20,-10.8863,0.0743375
-20,-10.786,0.0656645
-20,-10.6856,0.0569485
-20,-10.5853,0.0483387
-20,-10.4849,0.0395829
-20,-10.3846,0.033181
-20,-10.2843,0.025412
-20,-10.1839,0.0185198
-20,-10.0836,0.0138698
-20,-9.98328,0.00900646
-20,-9.88294,0.00715649
-20,-9.78261,0.00667888
-20,-9.68227,0.00810618
-20,-9.58194,0.0116555
-20,-9.48161,0.0173817
-20,-9.38127,0.0254119
-20,-9.28094,0.035642
-20,-9.1806,0.048771
-20,-9.08027,0.0639335
-20,-8.97993,0.0805886
-20,-8.8796,0.0989664
-20,-8.77926,0.118995
-20,-8.67893,0.139789
-20,-8.5786,0.161086
-20,-8.47826,0.182534
-20,-8.37793,0.203354
-20,-8.27759,0.222902
-20,-8.17726,0.240935
-20,-8.07692,0.256629
-20,-7.97659,0.269518
-20,-7.87625,0.27926
-20,-7.77592,0.285352
-20,-7.67559,0.287573
-20,-7.57525,0.285752
-20,-7.47492,0.279858
-20,-7.37458,0.270014
-20,-7.27425,0.256455
-20,-7.17391,0.239575
-20,-7.07358,0.219872
-20,-6.97324,0.197972
-20,-6.87291,0.174579
-20,-6.77258,0.150468
-20,-6.67224,0.126466
-20,-6.57191,0.103415
-20,-6.47157,0.0821556
-20,-6.37124,0.0634893
-20,-6.2709,0.0481485
-20,-6.17057,0.0367715
-20,-6.07023,0.0298667
-20,-5.9699,0.0277832
-20,-5.86957,0.030689
-20,-5.76923,0.0385525
-20,-5.6689,0.0511334
-20,-5.56856,0.0679828
-20,-5.46823,0.0884532
-20,-5.36789,0.111738
-20,-5.26756,0.136869
-20,-5.16722,0.162786
-20,-5.06689,0.188374
-20,-4.96656,0.21252
-20,-4.86622,0.234152
-20,-4.76589,0.252293
-20,-4.66555,0.266117
-20,-4.56522,0.274964
-20,-4.46488,0.278407
-20,-4.36455,0.276237
-20,-4.26421,0.268517
-20,-4.16388,0.255546
-20,-4.06355,0.237882
-20,-3.96321,0.216301
-20,-3.86288,0.191769
-20,-3.76254,0.165388
-20,-3.66221,0.13835
-20,-3.56187,0.111854
-20,-3.46154,0.0870529
-20,-3.3612,0.0649761
-20,-3.26087,0.04646
-20,-3.16054,0.0321051
-20,-3.0602,0.0222316
-20,-2.95987,0.0168628
-20,-2.85953,0.0157281
-20,-2.7592,0.0182892
-20,-2.65886,0.0237819
-20,-2.55853,0.0312827
-20,-2.45819,0.0397807
-20,-2.35786,0.04826
-20,-2.25753,0.0557768
-20,-2.15719,0.0615352
-20,-2.05686,0.0649477
-20,-1.95652,0.0656679
-20,-1.85619,0.0636182
-20,-1.75585,0.0589862
-20,-1.65552,0.0521847
-20,-1.55518,0.0438267
-20,-1.45485,0.0346555
-20,-1.35452,0.0254868
